CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;MID_RANGE;MEAN_DEVIATION;PHI;TIMEOUT
200.17.202.35;54113;1745543422335609656;1745543422343674112;856531;11;100006412.80775869;92528.55875495558;925346204;1.7455434224440507e+18
200.17.202.35;54113;1745543422435593452;1745543422443717888;856532;11;100010149.12698282;87012.02210359112;984014036;1.745543422544076e+18
200.17.202.35;54113;1745543422535612377;1745543422543676672;856533;11;100005012.61428455;83447.3325915143;1026050193;1.7455434226440154e+18
200.17.202.35;54113;1745543422635589213;1745543422643594496;856534;11;99996293.7528561;83821.4607608174;1021471729;1.745543422743926e+18
200.17.202.35;54113;1745543422735604709;1745543422743617536;856535;11;99998968.3775705;78113.9393991251;1096108500;1.745543422843929e+18
200.17.202.35;54113;1745543422835588594;1745543422843707648;856536;11;100008082.73981345;79416.9077021631;1078126256;1.7455434229440333e+18
200.17.202.35;54113;1745543422935588540;1745543422943564288;856537;11;99992938.4658321;86619.49091329149;988479074;1.7455434230439037e+18
200.17.202.35;54113;1745543423035573475;1745543423043626752;856538;11;99999891.0192489;84910.0952387524;1008380151;1.7455434231439662e+18
200.17.202.35;54113;1745543423135607921;1745543423143642624;856539;11;100001489.11732402;78017.18378998688;1097473031;1.7455434232439562e+18
200.17.202.35;54113;1745543423235609546;1745543423243526912;856540;11;99989769.00559162;81935.57714339063;1044989966;1.7455434233438444e+18
200.17.202.35;54113;1745543423335598632;1745543423343574784;856541;11;99995579.30503246;79552.31886988998;1076297431;1.7455434234438886e+18
200.17.202.35;54113;1745543423435630888;1745543423443619328;856542;11;100000475.77452922;76493.55647965478;1119336854;1.7455434235439258e+18
200.17.202.35;54113;1745543423535622023;1745543423543667456;856543;11;100005240.9970763;73609.42337876743;1163195599;1.7455434236439672e+18
200.17.202.35;54113;1745543423635624739;1745543423643704832;856544;11;100008454.49736866;69461.98133326041;1232649230;1.745543423743991e+18
200.17.202.35;54113;1745543423735606311;1745543423743592704;856545;11;99996396.2476318;74574.03293680072;1148152450;1.7455434238438874e+18
200.17.202.35;54113;1745543423835604023;1745543423843566848;856546;11;99994171.02286863;69341.85440630098;1234787560;1.7455434239438385e+18
200.17.202.35;54113;1745543423935608749;1745543423943631616;856547;11;100001230.72058177;69467.36667880755;1232558016;1.7455434240439107e+18
200.17.202.35;54113;1745543424035596764;1745543424043700992;856548;11;100008045.2485236;69335.1579527498;1234909714;1.7455434241439864e+18
200.17.202.35;54113;1745543424135593983;1745543424143569152;856549;11;99994056.72367124;76390.16700983411;1120861025;1.7455434242438687e+18
200.17.202.35;54113;1745543424235610709;1745543424243437824;856550;11;99981518.25130412;81289.62267597496;1053306178;1.7455434243437445e+18
200.17.202.35;54113;1745543424335597464;1745543424343592192;856551;11;99998803.22617371;90445.63527796547;946678761;1.745543424443953e+18
200.17.202.35;54113;1745543424435617160;1745543424443692288;856552;11;100008932.50355634;91530.34913279754;935460895;1.7455434245440673e+18
200.17.202.35;54113;1745543424535647246;1745543424543767296;856553;11;100015540.0532007;88984.86386388369;962221652;1.7455434246441388e+18
200.17.202.35;54113;1745543424635618660;1745543424643650816;856554;11;100002338.04788063;93288.382797566;917834150;1.7455434247440264e+18
200.17.202.35;54113;1745543424735618598;1745543424743867648;856555;11;100023787.44309257;105408.93972974592;812296983;1.745543424844313e+18
200.17.202.35;54113;1745543424835612794;1745543424843556864;856556;11;99990330.2987833;128325.1900660283;667238170;1.7455434249440604e+18
200.17.202.35;54113;1745543424935624140;1745543424943552512;856557;11;99990862.06890497;116024.44118109524;737978693;1.7455434250440074e+18
200.17.202.35;54113;1745543425035640386;1745543425043674880;856558;11;100004012.66201447;117572.59017248912;728262137;1.7455434251441492e+18
200.17.202.35;54113;1745543425135645791;1745543425143634432;856559;11;99999566.59581302;110261.39735668716;776552524;1.745543425244075e+18
200.17.202.35;54113;1745543425235645657;1745543425243562240;856560;11;99992390.73623171;106411.11720232056;804651519;1.7455434253439803e+18
200.17.202.35;54113;1745543425335611827;1745543425343626496;856561;11;99999577.26260854;102956.53185891705;831651630;1.745543425444038e+18
200.17.202.35;54113;1745543425435634892;1745543425443547904;856562;11;99991760.33634768;100477.80493387966;852168977;1.7455434255439416e+18
200.17.202.35;54113;1745543425535630258;1745543425543608320;856563;11;99998625.90271291;97295.59080572326;880041613;1.7455434256439962e+18
