sequence_number,time_to_detect_ns

711013,100046336.0
123658,100000000.0
486560,100133376.0
553115,100096768.0
312023,100013824.0
159115,100000000.0
146132,100000000.0
789977,100041984.0
582847,100083712.0
458994,100156672.0
372476,100253696.0
130897,100000000.0
478897,100139264.0
424044,100193536.0
754426,100037376.0
507645,100119040.0
475098,100142336.0
633918,100064512.0
395666,100225280.0
659302,100056576.0
320467,100014080.0
413338,100203776.0
618483,100069888.0
230858,100007424.0
169073,100000000.0
511525,100116480.0
751760,100037888.0
55976,100000000.0
67767,100000000.0
676671,100054016.0
