CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;INTERVAL;DELAY;VARIATION;TIMEOUT
200.17.202.34;60920;1745023494577968598;1745023494578338560;860559;0;99997440;99998838.1711455;58519.325575669915;100232915.47344817
200.17.202.34;60920;1745023494677964486;1745023494678335744;860560;0;99997184;99998672.75403096;52816.2684211987;100209937.82771575
200.17.202.34;60920;1745023494777966482;1745023494778330880;860561;0;99995136;99998319.07862785;47852.949441864286;100189730.87639531
200.17.202.34;60920;1745023494877966419;1745023494878388480;860562;0;100057600;100004247.17076507;48402.93742117065;100197858.92044975
200.17.202.34;60920;1745023494977962957;1745023494978365696;860563;0;99977216;100001544.05368856;45995.449047909184;100185525.84988019
200.17.202.34;60920;1745023495077965823;1745023495078342400;860564;0;99976704;99999060.04831971;43631.50897508949;100173586.08422007
200.17.202.34;60920;1745023495177949510;1745023495178298368;860565;0;99955968;99994750.84348774;43146.642426354505;100167337.41319315
200.17.202.34;60920;1745023495277961029;1745023495278388992;860566;0;100090624;100004338.15913898;47460.5622698213;100194180.40821826
200.17.202.34;60920;1745023495377947435;1745023495378333184;860567;0;99944192;99998323.54322508;48127.66036534715;100190834.18468647
200.17.202.34;60920;1745023495477942226;1745023495478332672;860568;0;99999488;99998439.98890257;43419.69543855555;100172118.7706568
200.17.202.34;60920;1745023495577963601;1745023495578384640;860569;0;100051968;100003792.79001231;43895.2468934685;100179373.77758619
200.17.202.34;60920;1745023495677963967;1745023495678375680;860570;0;99991040;100002517.51101108;40653.47330522955;100165131.404232
200.17.202.34;60920;1745023495777967844;1745023495778367232;860571;0;99991552;100001420.95990998;37575.021965704145;100151721.0477728
200.17.202.34;60920;1745023495877964642;1745023495878397696;860572;0;100030464;100004325.26391898;36431.39337723563;100150050.83742793
200.17.202.34;60920;1745023495977965388;1745023495978364928;860573;0;99967232;100000615.93752709;36126.6477922211;100145122.52869597
200.17.202.34;60920;1745023496077963511;1745023496078356480;860574;0;99991552;99999709.54377438;33329.73739043712;100133028.49333613
200.17.202.34;60920;1745023496177954798;1745023496178353408;860575;0;99996928;99999431.38939694;30247.10259108698;100120419.79976128
200.17.202.34;60920;1745023496277959977;1745023496278391040;860576;0;100037632;100003251.45045725;30660.44728625377;100125893.23960225
200.17.202.34;60920;1745023496377947385;1745023496378364160;860577;0;99973120;100000238.30541152;30306.233098780154;100121463.23780663
200.17.202.34;60920;1745023496477954951;1745023496478399744;860578;0;100035584;100003772.87487037;30456.722301864662;100125599.76407783
200.17.202.34;60920;1745023496577964646;1745023496578405888;860579;0;100006144;100004009.98738335;27624.451333343124;100114507.79271673
200.17.202.34;60920;1745023496677979753;1745023496678444032;860580;0;100038144;100007423.38864502;27934.0673355065;100119159.65798704
200.17.202.34;60920;1745023496777972106;1745023496778414080;860581;0;99970048;100003685.84978051;28504.445580007337;100117703.63210054
200.17.202.34;60920;1745023496877962503;1745023496878349056;860582;0;99934976;99996814.86480246;31837.88750225309;100124166.41481148
200.17.202.34;60920;1745023496977961108;1745023496978372096;860583;0;100023040;99999437.37832221;31014.360919806393;100123494.82200144
200.17.202.34;60920;1745023497077966814;1745023497078397952;860584;0;100025856;100002079.24048999;30290.600778826803;100123241.64360529
200.17.202.34;60920;1745023497177950285;1745023497178341888;860585;0;99943936;99996264.916441;32494.43234504348;100126242.64582117
200.17.202.34;60920;1745023497277972851;1745023497278380032;860586;0;100038144;100000452.8247969;33014.10663084911;100132509.2513203
200.17.202.34;60920;1745023497377953937;1745023497378341376;860587;0;99961344;99996541.94231722;33232.49019948596;100129471.90311517
200.17.202.34;60920;1745023497477968218;1745023497478385920;860588;0;100044544;100001342.1480855;34229.42637098689;100138259.85356945
200.17.202.34;60920;1745023497577971556;1745023497578388736;860589;0;100002816;100001489.53327695;30939.130406193668;100125246.05490172
200.17.202.34;60920;1745023497677987044;1745023497678444032;860590;0;100055296;100006870.17994925;32687.79937064892;100137621.37743185
200.17.202.34;60920;1745023497777977231;1745023497778411520;860591;0;99967488;100002931.96195433;32963.41562901658;100134785.6244704
200.17.202.34;60920;1745023497877987862;1745023497878386176;860592;0;99974656;100000104.3657589;32211.91064200451;100128952.00832692
200.17.202.34;60920;1745023497977982023;1745023497978416640;860593;0;100030464;100003140.32918301;31723.086659502835;100130032.67582102
200.17.202.34;60920;1745023498077984119;1745023498078428160;860594;0;100011520;100003978.29626471;29304.948367081746;100121198.08973303
200.17.202.34;60920;1745023498177985463;1745023498178426624;860595;0;99998464;100003426.86663824;26870.740194197893;100110909.82741503
200.17.202.34;60920;1745023498277979123;1745023498278390528;860596;0;99963904;99999474.57997443;27740.724172220886;100110437.4766633
200.17.202.34;60920;1745023498377965184;1745023498378354688;860597;0;99964160;99995943.12197699;28144.96395269745;100108522.97778778
200.17.202.34;60920;1745023498477966744;1745023498478405120;860598;0;100050432;100001392.00977929;30234.46657949877;100122329.87609729
200.17.202.34;60920;1745023498577968204;1745023498578413056;860599;0;100007936;100002046.40880136;27799.979041412702;100113246.32496701
200.17.202.34;60920;1745023498677963940;1745023498678405888;860600;0;99992832;100001124.96792123;25849.277929394153;100104522.07963881
200.17.202.34;60920;1745023498777939734;1745023498778410496;860601;0;100004608;100001473.2711291;23577.823023544584;100095784.56322327
200.17.202.34;60920;1745023498877934931;1745023498878336256;860602;0;99925760;99993901.94401619;28034.235122808965;100106038.88450742
200.17.202.34;60920;1745023498977955707;1745023498978397440;860603;0;100061184;100000630.14961457;31286.196649070815;100125774.93621086
200.17.202.34;60920;1745023499077954194;1745023499078389248;860604;0;99991808;99999747.93465312;28951.57044947556;100115554.21645102
200.17.202.34;60920;1745023499177969070;1745023499178433536;860605;0;100044288;100004201.9411878;30065.01928574811;100124462.0183308
200.17.202.34;60920;1745023499277950437;1745023499278349056;860606;0;99915520;99995333.74706902;35039.89206407491;100135493.31532532
200.17.202.34;60920;1745023499377961214;1745023499378381568;860607;0;100032512;99999051.57236212;34881.94562145493;100138579.35484794
200.17.202.34;60920;1745023499477921170;1745023499478383872;860608;0;100002304;99999376.81512593;31686.469546716704;100126122.6933128
200.17.202.34;60920;1745023499577953471;1745023499578383104;860609;0;99999232;99999362.33361334;28530.855953378643;100113485.75742686
200.17.202.34;60920;1745023499677969227;1745023499678442240;860610;0;100059136;100005339.700252;31057.400332841127;100129569.30158336
200.17.202.34;60920;1745023499777967803;1745023499778424320;860611;0;99982080;100003013.7302268;30045.033322237;100123193.86351575
200.17.202.34;60920;1745023499877967050;1745023499878384896;860612;0;99960576;99998769.95720412;30859.925710425137;100122209.66004582
200.17.202.34;60920;1745023499977967608;1745023499978380288;860613;0;99995392;99998432.1614837;28077.94928775313;100110743.95863472
200.17.202.34;60920;1745023500077964604;1745023500078455040;860614;0;100074752;100006064.14533535;32138.939825443173;100134619.90463711
200.17.202.34;60920;1745023500177962862;1745023500178432000;860615;0;99976960;100003153.73080182;31544.41892308093;100129331.40649414
200.17.202.34;60920;1745023500277958408;1745023500278361344;860616;0;99929344;99995772.75772165;35032.8528029376;100135904.16893339
200.17.202.34;60920;1745023500377939955;1745023500378342656;860617;0;99981312;99994326.68194948;32831.03571759198;100125650.82481985
200.17.202.34;60920;1745023500477927733;1745023500478383872;860618;0;100041216;99999015.61375453;33767.9707703802;100134087.49683605
200.17.202.34;60920;1745023500577942589;1745023500578327552;860619;0;99943680;99993482.05237907;35371.378931249346;100134967.56810407
200.17.202.34;60920;1745023500677929406;1745023500678362624;860620;0;100035072;99997641.04714116;35577.336324007956;100139950.39243719
200.17.202.34;60920;1745023500777939614;1745023500778380032;860621;0;100017408;99999617.74242705;33798.628448902055;100134812.25622267
200.17.202.34;60920;1745023500877957550;1745023500878356224;860622;0;99976192;99997275.16818435;32527.08242244734;100127383.49787414
