sequence_number,time_to_detect_ns

603031,103231232.0
254718,101660672.0
114665,100963584.0
434903,103422720.0
613543,144155648.0
108983,100834560.0
856112,101288960.0
374072,102725120.0
330083,101750784.0
221516,103905024.0
574793,102116096.0
772283,106800896.0
349904,102766848.0
682878,102049280.0
774133,101765888.0
70758,101096448.0
620989,103742720.0
341288,101897984.0
85229,100567808.0
21243,100502016.0
428591,102236928.0
47730,100831232.0
118930,105571328.0
604604,103255552.0
319606,101102080.0
150812,100591360.0
801851,101698048.0
479514,107206144.0
581011,102372096.0
821296,101952768.0
