sequence_number,time_taken_to_correct_ns
10304,1999730944.0
18502,1999411200.0
26863,1999527168.0
41965,1999432704.0
46581,1999470080.0
48580,1999406336.0
67575,1999247872.0
86370,1999365120.0
91655,1999161600.0
153072,1999206400.0
169391,1999671296.0
171871,1999263488.0
183748,1999385856.0
185289,1999176704.0
186401,1998875648.0
240418,1998736640.0
252097,1999041792.0
252377,1998989056.0
254350,1999443968.0
293117,1999245312.0
293895,1998952192.0
300715,1999275776.0
316153,1999272192.0
323586,1998886656.0
326573,1999453952.0
327368,1999166208.0
332274,1999028736.0
341829,1999595776.0
357627,1999290112.0
362267,1998857216.0
368783,1999030016.0
372137,22498141696.0
381346,1998360576.0
386850,1998080256.0
388223,1998615808.0
393886,1998060032.0
401336,1998660864.0
421619,1998167808.0
426470,1998288640.0
441088,1998506496.0
442384,1998910976.0
445776,1998674944.0
459799,1998659328.0
462182,1998905088.0
475211,1998747136.0
480027,1998273792.0
487002,1998312192.0
487851,1998428416.0
489192,1998570240.0
495048,1998561792.0
506314,1987958528.0
508785,1995939328.0
511127,1967887360.0
527242,1999030784.0
533716,1998881024.0
534819,1999158784.0
553634,1999030272.0
567969,1998990848.0
569062,1995513088.0
569643,1999174400.0
577854,1998992640.0
583257,1999153408.0
600583,1998886912.0
625729,1998784512.0
634167,1999209216.0
648981,1999222528.0
650536,1998328576.0
652516,1998938624.0
667325,1999119872.0
669422,1999037952.0
676546,1998915072.0
689693,1999408128.0
689819,1999170560.0
708071,1999121664.0
708166,1995829248.0
709329,1999068928.0
716439,1999373312.0
727406,1999433216.0
738518,1999356160.0
758757,1999063552.0
768110,1999493632.0
768583,1998765568.0
779203,1999239936.0
782117,1998640896.0
786702,1986066176.0
788003,1996264192.0
790767,1998259456.0
793307,1999219712.0
796917,1998757632.0
802159,1999104000.0
817586,1999650560.0
818872,1999191552.0
822724,1998792192.0
826528,1998666752.0
826756,1998321152.0
828525,1998843136.0
856065,1996172800.0
862458,1998818304.0
863218,1999482112.0
