sequence_number,time_taken_to_correct_ns
10304,2000117248.0
18502,1999945984.0
26863,2000058368.0
41965,2000135680.0
46581,1999996416.0
48580,1999825152.0
67575,1999834112.0
86370,1999887616.0
91655,1999976704.0
153072,1999935744.0
169391,2000064512.0
171871,2000118784.0
183748,1999859712.0
185289,1999964928.0
186401,1999916288.0
240418,2000175360.0
252097,1999834112.0
252377,2000204544.0
254350,1999981056.0
293117,1999956992.0
293895,2000013824.0
300715,1999999232.0
316153,2000038144.0
323586,1999889920.0
326573,2000351744.0
327368,2000247296.0
332274,1999911168.0
341829,2000197376.0
357627,2000011776.0
362267,1999408384.0
368783,2000044032.0
372137,22499654656.0
381346,2000061184.0
386850,1999768576.0
388223,1999735296.0
393886,1999622656.0
401336,1999774208.0
421619,1999474688.0
426470,1999593728.0
441088,1999866368.0
442384,1999899648.0
445776,2000097024.0
459799,1999823360.0
462182,1999927552.0
475211,1999752192.0
480027,1999837952.0
487002,1999492352.0
487851,1999722496.0
489192,1999832320.0
495048,1999532288.0
506314,1999654400.0
508785,2000022784.0
511127,1979729664.0
527242,1999888128.0
533716,1999923968.0
534819,1999966976.0
553634,1999859968.0
567969,1999969024.0
569062,1999924992.0
569643,1999938304.0
577854,1999815168.0
583257,1999977728.0
600583,1999808256.0
625729,1999848704.0
634167,1999776256.0
648981,1999995136.0
650536,1999934464.0
652516,1999746048.0
667325,2000052992.0
669422,2000153344.0
676546,1999855104.0
689693,2000048896.0
689819,1999777280.0
708071,1999951360.0
708166,1999640320.0
709329,1999805184.0
716439,1999960064.0
727406,2000079360.0
738518,2000028672.0
758757,2000051968.0
768110,2000155392.0
768583,1999769600.0
779203,2000040704.0
782117,1999859200.0
786702,1999768320.0
788003,1999777280.0
790767,1999842048.0
793307,1999873536.0
796917,1999814656.0
802159,1999852032.0
817586,2000184832.0
818872,2000106240.0
822724,1999858688.0
826528,1999836928.0
826756,1999909376.0
828525,1999972096.0
856065,1997859072.0
862458,1999926528.0
863218,1999963392.0
