sequence_number,time_to_detect_ns
690199,100644352.0
570098,100465664.0
615572,100499968.0
457303,100700160.0
615983,100291840.0
107772,101574912.0
62948,100388608.0
109922,100336640.0
374609,100465408.0
645106,100299520.0
276869,100301056.0
273787,100561920.0
495364,100497408.0
328226,100408064.0
169678,101364224.0
763397,102680832.0
800762,100460032.0
808025,100515840.0
475692,147185920.0
346294,104283904.0
687189,100517888.0
288765,100428800.0
692454,100640256.0
712575,100806400.0
123920,100270592.0
44309,103418624.0
713913,100321792.0
296667,101075456.0
490004,100725504.0
838650,100378112.0
